\
|cntr_01|dist_x             |pang_x            |ra_01     |dec_01  |sn_name_01|z_01    |type_01|obsmjd            |mag_autocorr      |magerr_auto        |oid             |ra                |dec     |fid |transient_flag|astrometricrms        |nobs|ngoodobs|nbestobs|referencemag|referencemagerr|medianmag|bestmedianmag     |meanmag           |bestmeanmag       |magrms             |bestmagrms         |sid           |s_ra      |s_dec             |ptffield|ccdid|hmjd              |nid |mag_auto|limitmag          |absphotzp         |fwhmsex           |fwhm_image        |qaflags|flags |photcalflag|goodflag   |pid     |
|long   |double             |double            |char      |char    |char      |char    |char   |double            |double            |double             |long            |double            |double  |long|int           |double                |int |int     |int     |double      |double         |double   |double            |double            |double            |double             |double             |long          |double    |double            |int     |int  |double            |int |double  |double            |double            |double            |double            |int    |int   |int        |int        |int     |
|       |arcsec             |deg               |          |        |          |        |       |days              |mag               |mag                |                |degrees           |degrees |    |              |degrees               |    |        |        |mag         |mag            |mag      |mag               |mag               |mag               |mag                |mag                |              |degrees   |degrees           |        |     |days              |    |mag     |mag               |mag               |arcsec            |pixels            |       |      |0=No, 1=Yes|0=No, 1=Yes|        |
|null   |null               |null              |null      |null    |null      |null    |null   |null              |null              |null               |null            |null              |null    |null|null          |null                  |null|null    |null    |null        |null           |null     |null              |null              |null              |null               |null               |null          |null      |null              |null    |null |null              |null|null    |null              |null              |null              |null              |null   |null  |null       |null       |null    |
     106 0.65521000000000000 179.68539100000000 180.880375 2.042917 SN2014E    0.018906 Ia      56778.266497200000 20.486000000000000 0.14600000000000000 1001192005012537 180.88037600000000 2.042735    2              1 9.6984140000000000e-07   55       55       48            0               0    19.395 19.392000000000000 19.359000000000000 19.403000000000000 0.90400000000000000 0.86200000000000000 22127529003089 180.880336 2.0427170000000000   100119     0 56778.270957200000 1850   20.497 21.091000000000000 27.969000000000000 2.8500000000000000 2.8400000000000000       0 131072           0           1 22127529 
     106 0.65521000000000000 179.68539100000000 180.880375 2.042917 SN2014E    0.018906 Ia      56662.432967200000 16.785000000000000 0.16600000000000000 1001192005012537 180.88037600000000 2.042735    2              1 9.6984140000000000e-07   55       55       48            0               0    19.395 19.392000000000000 19.359000000000000 19.403000000000000 0.90400000000000000 0.86200000000000000 18772723003419 180.880366 2.0427160000000000   100119     0 56662.434307200000 1733   16.755 21.106000000000000 27.981000000000000 3.1500000000000000 3.3580000000000000       0 131072           1           1 18772723 
     106 0.65521000000000000 179.68539100000000 180.880375 2.042917 SN2014E    0.018906 Ia      56662.395627200000 16.816000000000000 0.16600000000000000 1001192005012537 180.88037600000000 2.042735    2              1 9.6984140000000000e-07   55       55       48            0               0    19.395 19.392000000000000 19.359000000000000 19.403000000000000 0.90400000000000000 0.86200000000000000 18772713003153 180.880350 2.0427500000000000   100119     0 56662.396967200000 1733   16.747 20.918000000000000 27.899000000000000 3.2500000000000000 3.4200000000000000       0 131072           1           1 18772713 
     106 0.65521000000000000 179.68539100000000 180.880375 2.042917 SN2014E    0.018906 Ia      56780.247537200000 20.826000000000000 0.13700000000000000 1001192005012537 180.88037600000000 2.042735    2              1 9.6984140000000000e-07   55       55       48            0               0    19.395 19.392000000000000 19.359000000000000 19.403000000000000 0.90400000000000000 0.86200000000000000 22121521003920 180.880349 2.0427650000000000   100119     0 56780.251877200000 1852   20.844 21.457000000000000 27.949000000000000 2.0500000000000000 2.8010000000000000       0      0           0           1 22121521 
     106 0.65521000000000000 179.68539100000000 180.880375 2.042917 SN2014E    0.018906 Ia      56662.502127200000 16.758000000000000 0.16600000000000000 1001192005012537 180.88037600000000 2.042735    2              1 9.6984140000000000e-07   55       55       48            0               0    19.395 19.392000000000000 19.359000000000000 19.403000000000000 0.90400000000000000 0.86200000000000000 18772734003455 180.880370 2.0427260000000000   100119     0 56662.503487200000 1733   16.750 21.224000000000000 28.030000000000000 2.9500000000000000 3.8470000000000000       0 131072           1           1 18772734 
     106 0.65521000000000000 179.68539100000000 180.880375 2.042917 SN2014E    0.018906 Ia      56770.201427200000 20.459000000000000 0.12700000000000000 1001192005012537 180.88037600000000 2.042735    2              1 9.6984140000000000e-07   55       55       48            0               0    19.395 19.392000000000000 19.359000000000000 19.403000000000000 0.90400000000000000 0.86200000000000000 22144315003644 180.880348 2.0427000000000000   100119     0 56770.206347200000 1842   20.465 21.262000000000000 27.913000000000000 2.5500000000000000 3.8590000000000000       0 131072           0           1 22144315 
     106 0.65521000000000000 179.68539100000000 180.880375 2.042917 SN2014E    0.018906 Ia      56722.323297200000 18.890000000000000 0.27700000000000000 1001192005012537 180.88037600000000 2.042735    2              1 9.6984140000000000e-07   55       55       48            0               0    19.395 19.392000000000000 19.359000000000000 19.403000000000000 0.90400000000000000 0.86200000000000000 19469087003668 180.880364 2.0427300000000000   100119     0 56722.328847200000 1794   18.775 21.322000000000000 27.560000000000000 1.8500000000000000 2.0720000000000000       0 131072           1           1 19469087 
     106 0.65521000000000000 179.68539100000000 180.880375 2.042917 SN2014E    0.018906 Ia      56724.220517200000 19.109000000000000 0.09700000000000000 1001192005012537 180.88037600000000 2.042735    2              1 9.6984140000000000e-07   55       55       48            0               0    19.395 19.392000000000000 19.359000000000000 19.403000000000000 0.90400000000000000 0.86200000000000000 19480956002089 180.880395 2.0427340000000000   100119     0 56724.226117200000 1796   19.118 20.439000000000000 27.900000000000000 3.8500000000000000 4.7380000000000000       0 131072           1           1 19480956 
