\
|cntr_01|dist_x             |pang_x            |ra_01   |dec_01   |sn_name_01|z_01 |type_01|obsmjd            |mag_autocorr      |magerr_auto         |oid           |ra                |dec               |fid |transient_flag|astrometricrms        |nobs|ngoodobs|nbestobs|referencemag|referencemagerr     |medianmag         |bestmedianmag     |meanmag|bestmeanmag       |magrms             |bestmagrms         |sid           |s_ra              |s_dec    |ptffield|ccdid|hmjd              |nid |mag_auto          |limitmag          |absphotzp|fwhmsex           |fwhm_image|qaflags|flags |photcalflag|goodflag   |pid     |
|long   |double             |double            |char    |char     |char      |char |char   |double            |double            |double              |long          |double            |double            |long|int           |double                |int |int     |int     |double      |double              |double            |double            |double |double            |double             |double             |long          |double            |double   |int     |int  |double            |int |double            |double            |double   |double            |double    |int    |int   |int        |int        |int     |
|       |arcsec             |deg               |        |         |          |     |       |days              |mag               |mag                 |              |degrees           |degrees           |    |              |degrees               |    |        |        |mag         |mag                 |mag               |mag               |mag    |mag               |mag                |mag                |              |degrees           |degrees  |        |     |days              |    |mag               |mag               |mag      |arcsec            |pixels    |       |      |0=No, 1=Yes|0=No, 1=Yes|        |
|null   |null               |null              |null    |null     |null      |null |null   |null              |null              |null                |null          |null              |null              |null|null          |null                  |null|null    |null    |null        |null                |null              |null              |null   |null              |null               |null               |null          |null              |null     |null    |null |null              |null|null              |null              |null     |null              |null      |null   |null  |null       |null       |null    |
     424 0.16512100000000000 139.73625700000000 4.984875 36.755972 iPTF14gjh  0.042 Ia      56209.202457200000 19.159000000000000 0.085000000000000000 42781070004735 4.9849120000000000 36.755937000000000    1              0 2.1571410000000000e-06  161      153      147        18.07 0.041000000000000000 19.257000000000000 19.271000000000000  18.933 18.964000000000000 0.73700000000000000 0.72600000000000000 14369664001159 4.9853130000000000 36.756155     4278     7 56209.207367200000 1306 19.182000000000000 21.563000000000000        28 3.3500000000000000     11.516       0 131072           0           1 14369664 
     424 0.16512100000000000 139.73625700000000 4.984875 36.755972 iPTF14gjh  0.042 Ia      56942.454877200000 17.492000000000000 0.040000000000000000 42781070004735 4.9849120000000000 36.755937000000000    1              0 2.1571410000000000e-06  161      153      147        18.07 0.041000000000000000 19.257000000000000 19.271000000000000  18.933 18.964000000000000 0.73700000000000000 0.72600000000000000 21768717000723 4.9848750000000000 36.755933     4278     7 56942.459807200000 2006 17.491000000000000 20.561000000000000        28 2.6500000000000000      2.933       0 131072           0           1 21768717 
     424 0.16512100000000000 139.73625700000000 4.984875 36.755972 iPTF14gjh  0.042 Ia      56940.408307200000 17.667000000000000 0.050000000000000000 42781070004735 4.9849120000000000 36.755937000000000    1              0 2.1571410000000000e-06  161      153      147        18.07 0.041000000000000000 19.257000000000000 19.271000000000000  18.933 18.964000000000000 0.73700000000000000 0.72600000000000000 21740733000626 4.9849040000000000 36.755941     4278     7 56940.413227200000 2004 17.671000000000000 20.245000000000000        28 2.6500000000000000      2.882       0 131072           0           1 21740733 
     424 0.16512100000000000 139.73625700000000 4.984875 36.755972 iPTF14gjh  0.042 Ia      56940.383727200000 17.679000000000000 0.049000000000000000 42781070004735 4.9849120000000000 36.755937000000000    1              0 2.1571410000000000e-06  161      153      147        18.07 0.041000000000000000 19.257000000000000 19.271000000000000  18.933 18.964000000000000 0.73700000000000000 0.72600000000000000 21740725000651 4.9848840000000000 36.755943     4278     7 56940.388647200000 2004 17.684000000000000 20.287000000000000        28 2.6500000000000000      2.864       0 131072           0           1 21740725 
     424 0.16512100000000000 139.73625700000000 4.984875 36.755972 iPTF14gjh  0.042 Ia      56922.469087200000 19.482000000000000 0.072000000000000000 42781070004735 4.9849120000000000 36.755937000000000    1              0 2.1571410000000000e-06  161      153      147        18.07 0.041000000000000000 19.257000000000000 19.271000000000000  18.933 18.964000000000000 0.73700000000000000 0.72600000000000000 21472068001119 4.9852560000000000 36.756047     4278     7 56922.473637200000 1985 19.481000000000000 21.644000000000000        28 2.8500000000000000      9.749       0 131072           0           1 21472068 
     424 0.16512100000000000 139.73625700000000 4.984875 36.755972 iPTF14gjh  0.042 Ia      56922.441307200000 19.340000000000000 0.073000000000000000 42781070004735 4.9849120000000000 36.755937000000000    1              0 2.1571410000000000e-06  161      153      147        18.07 0.041000000000000000 19.257000000000000 19.271000000000000  18.933 18.964000000000000 0.73700000000000000 0.72600000000000000 21472009001142 4.9852000000000000 36.755939     4278     7 56922.445857200000 1985 19.337000000000000 21.723000000000000        28 2.8500000000000000     10.009       0 131072           0           1 21472009 
     424 0.16512100000000000 139.73625700000000 4.984875 36.755972 iPTF14gjh  0.042 Ia      56954.368887200000 17.596000000000000 0.031000000000000000 42781070004735 4.9849120000000000 36.755937000000000    1              0 2.1571410000000000e-06  161      153      147        18.07 0.041000000000000000 19.257000000000000 19.271000000000000  18.933 18.964000000000000 0.73700000000000000 0.72600000000000000 21961202001114 4.9848810000000000 36.755932     4278     7 56954.373777200000 2016 17.600000000000000 21.672000000000000        28 2.5500000000000000      2.897       0 131072           0           1 21961202 
     424 0.16512100000000000 139.73625700000000 4.984875 36.755972 iPTF14gjh  0.042 Ia      56934.456477200000 18.581000000000000 0.226000000000000000 42781070004735 4.9849120000000000 36.755937000000000    1              0 2.1571410000000000e-06  161      153      147        18.07 0.041000000000000000 19.257000000000000 19.271000000000000  18.933 18.964000000000000 0.73700000000000000 0.72600000000000000 21642630000992 4.9849330000000000 36.755916     4278     7 56934.461327200000 1997 18.487000000000000 21.167000000000000        28 3.3500000000000000      5.244       0 131072           0           1 21642630 
