\
|cntr_01|dist_x             |pang_x            |ra_01     |dec_01            |sn_name_01|z_01  |type_01|obsmjd            |mag_autocorr|magerr_auto        |oid             |ra                |dec      |fid |transient_flag|astrometricrms        |nobs|ngoodobs|nbestobs|referencemag      |referencemagerr     |medianmag         |bestmedianmag     |meanmag           |bestmeanmag       |magrms             |bestmagrms         |sid           |s_ra     |s_dec    |ptffield|ccdid|hmjd              |nid |mag_auto|limitmag          |absphotzp         |fwhmsex|fwhm_image        |qaflags|flags |photcalflag|goodflag   |pid     |
|long   |double             |double            |double    |double            |char      |char  |char   |double            |double      |double             |long            |double            |double   |long|int           |double                |int |int     |int     |double            |double              |double            |double            |double            |double            |double             |double             |long          |double   |double   |int     |int  |double            |int |double  |double            |double            |double |double            |int    |int   |int        |int        |int     |
|       |arcsec             |deg               |          |                  |          |      |       |days              |mag         |mag                |                |degrees           |degrees  |    |              |degrees               |    |        |        |mag               |mag                 |mag               |mag               |mag               |mag               |mag                |mag                |              |degrees  |degrees  |        |     |days              |    |mag     |mag               |mag               |arcsec |pixels            |       |      |0=No, 1=Yes|0=No, 1=Yes|        |
|null   |null               |null              |null      |null              |null      |null  |null   |null              |null        |null               |null            |null              |null     |null|null          |null                  |null|null    |null    |null              |null                |null              |null              |null              |null              |null               |null               |null          |null     |null     |null    |null |null              |null|null    |null              |null              |null   |null              |null   |null  |null       |null       |null    |
      40 0.38307000000000000 66.752342000000000 240.313458 21.388167000000000 PTF12gty   0.1768 SLSN-I  56106.301367200000       19.936 0.13400000000000000 1300542100006735 240.31356300000000 21.388209    2              0 9.4293350000000000e-07   33       32       32 20.095000000000000 0.044000000000000000 20.017000000000000 20.017000000000000 20.016000000000000 20.016000000000000 0.30200000000000000 0.30200000000000000 13558687000610 240.31358 21.388192   130054    10 56106.304427200000 1203   19.945 21.002000000000000 27.454000000000000    2.25 2.3620000000000000       0 131072           1           1 13558687 
      40 0.38307000000000000 66.752342000000000 240.313458 21.388167000000000 PTF12gty   0.1768 SLSN-I  56106.370627200000       20.051 0.10100000000000000 1300542100006735 240.31356300000000 21.388209    2              0 9.4293350000000000e-07   33       32       32 20.095000000000000 0.044000000000000000 20.017000000000000 20.017000000000000 20.016000000000000 20.016000000000000 0.30200000000000000 0.30200000000000000 13558732000654 240.31356 21.388258   130054    10 56106.373677200000 1203   20.056 21.422000000000000 27.413000000000000    1.95 2.4010000000000000       0 131072           1           1 13558732 
      40 0.38307000000000000 66.752342000000000 240.313458 21.388167000000000 PTF12gty   0.1768 SLSN-I  56097.401847200000       20.393 0.20600000000000000 1300542100006735 240.31356300000000 21.388209    2              0 9.4293350000000000e-07   33       32       32 20.095000000000000 0.044000000000000000 20.017000000000000 20.017000000000000 20.016000000000000 20.016000000000000 0.30200000000000000 0.30200000000000000 13499494000617 240.31346 21.388282   130054    10 56097.405337200000 1194   20.369 21.269000000000000 27.388000000000000    2.45 4.8940000000000000       0      0           1           1 13499494 
      40 0.38307000000000000 66.752342000000000 240.313458 21.388167000000000 PTF12gty   0.1768 SLSN-I  56097.431827200000       19.883 0.13300000000000000 1300542100006735 240.31356300000000 21.388209    2              0 9.4293350000000000e-07   33       32       32 20.095000000000000 0.044000000000000000 20.017000000000000 20.017000000000000 20.016000000000000 20.016000000000000 0.30200000000000000 0.30200000000000000 13499519000533 240.31363 21.388266   130054    10 56097.435307200000 1194   19.865 20.998000000000000 27.355000000000000    2.95 6.1650000000000000       0 131072           1           1 13499519 
      40 0.38307000000000000 66.752342000000000 240.313458 21.388167000000000 PTF12gty   0.1768 SLSN-I  56099.391577200000       20.163 0.13000000000000000 1300542100006735 240.31356300000000 21.388209    2              0 9.4293350000000000e-07   33       32       32 20.095000000000000 0.044000000000000000 20.017000000000000 20.017000000000000 20.016000000000000 20.016000000000000 0.30200000000000000 0.30200000000000000 13511111000714 240.31352 21.388235   130054    10 56099.394967200000 1196   20.164 21.554000000000000 27.419000000000000    1.95 2.2850000000000000       0 131072           1           1 13511111 
      40 0.38307000000000000 66.752342000000000 240.313458 21.388167000000000 PTF12gty   0.1768 SLSN-I  56099.424847200000       20.217 0.13700000000000000 1300542100006735 240.31356300000000 21.388209    2              0 9.4293350000000000e-07   33       32       32 20.095000000000000 0.044000000000000000 20.017000000000000 20.017000000000000 20.016000000000000 20.016000000000000 0.30200000000000000 0.30200000000000000 13511143000622 240.31353 21.388166   130054    10 56099.428247200000 1196   20.220 21.246000000000000 27.384000000000000    2.35 3.3750000000000000       0 131072           1           1 13511143 
      40 0.38307000000000000 66.752342000000000 240.313458 21.388167000000000 PTF12gty   0.1768 SLSN-I  56100.314727200000       20.093 0.11400000000000000 1300542100006735 240.31356300000000 21.388209    2              0 9.4293350000000000e-07   33       32       32 20.095000000000000 0.044000000000000000 20.017000000000000 20.017000000000000 20.016000000000000 20.016000000000000 0.30200000000000000 0.30200000000000000 13517413000664 240.31357 21.388197   130054    10 56100.318077200000 1197   20.095 21.521000000000000 27.460000000000000    2.05 2.7820000000000000       0 131072           1           1 13517413 
      40 0.38307000000000000 66.752342000000000 240.313458 21.388167000000000 PTF12gty   0.1768 SLSN-I  56100.344567200000       20.205 0.10800000000000000 1300542100006735 240.31356300000000 21.388209    2              0 9.4293350000000000e-07   33       32       32 20.095000000000000 0.044000000000000000 20.017000000000000 20.017000000000000 20.016000000000000 20.016000000000000 0.30200000000000000 0.30200000000000000 13517490000667 240.31357 21.388289   130054    10 56100.347927200000 1197   20.207 21.402000000000000 27.452000000000000    2.25 3.3660000000000000       0 131072           1           1 13517490 
